Co N Idle T
23 1 89.18 5
39 2 85.79 5
58 3 84.38 5
69 4 78.57 5
83 5 75.37 5
102 6 73.79 5
108 7 66.05 5
115 8 60.89 5
132 9 60.1 5
131 10 51.55 5
139 11 45.22 5
158 12 39.26 5
146 13 43.45 5
161 14 26.5 5
174 15 10.58 5
156 16 12.84 5
170 17 5.32 5
180 18 5.49 5
170 19 2.25 5
156 20 5.21 5
176 21 3 5
168 22 0 5
165 23 0 5
188 24 0 5
166 25 0 5
160 26 0 5
176 27 0 5
160 28 0 5
160 29 0 5
173 30 0 5
161 31 0 5
157 32 0 5
174 33 0 5
162 34 0 5
161 35 0 5
173 36 0 5
153 37 0 5
153 38 0 5
171 39 0 5
155 40 0 5
157 41 0 5
174 42 0 5
161 43 0 5
155 44 0 5
168 45 0 5
157 46 0 5
161 47 0 5
173 48 0 5
151 49 0 5
151 50 0 5
