Co N Idle 10
45 1 82.11 10
80 2 82.14 10
113 3 82.14 10
142 4 82.15 10
170 5 82.12 10
200 6 82.09 10
213 7 82.07 10
241 8 82.04 10
261 9 81.99 10
298 10 81.95 10
292 11 81.9 10
327 12 81.84 10
342 13 81.77 10
350 14 81.71 10
356 15 81.64 10
364 16 81.57 10
367 17 81.5 10
381 18 81.43 10
372 19 81.37 10
388 20 81.3 10
371 21 81.24 10
385 22 81.16 10
370 23 81.09 10
390 24 81.03 10
375 25 80.95 10
386 26 80.88 10
373 27 80.81 10
382 28 80.74 10
373 29 80.68 10
393 30 80.62 10
371 31 80.55 10
388 32 80.49 10
376 33 80.42 10
390 34 80.35 10
368 35 80.29 10
380 36 80.23 10
370 37 80.16 10
387 38 80.09 10
367 39 80.03 10
382 40 79.96 10
364 41 79.9 10
385 42 79.83 10
368 43 79.77 10
385 44 79.7 10
368 45 79.64 10
386 46 79.58 10
368 47 79.52 10
372 48 79.46 10
366 49 79.39 10
383 50 79.32 10
